video_name,xmin,xmax,clr_score,reg_score,label
v_BSKolF3MMe4,0.38,0.96,0.5639616,0.30373862385749817,Mowing the lawn
v_MOvLBw1EzmI,0.0,0.99,0.5548833,0.4983847141265869,Mowing the lawn
v_PEpfA3L4m20,0.0,0.99,0.42695114,0.019622115418314934,Blowing leaves
v_v621l04N1QQ,0.0,0.99,0.569273,0.1600520759820938,Rafting
v_ROMy00dG8Ds,0.0,0.99,0.028390734,0.0026657504,Walking the dog
v_Yi3xUQcaOnE,0.09,0.98,0.56331307,0.42492401599884033,Rafting
v_cGoj8xGxrG0,0.0,0.99,0.513969,0.01962248608469963,Croquet
v_Zc8zn0sKfwo,0.0,0.99,0.15455887,0.061851133,Preparing pasta
v_lPCl1ZYH2xI,0.05,0.98,0.5655366,0.4261328876018524,Mowing the lawn
v_ujltXvkQK_g,0.01,0.99,0.009263004,0.00038469196,Cricket
v_MXDeLfF5rok,0.05,0.77,0.56924623,0.25870785117149353,Rafting
v_O_e0pqEMZMw,0.0,0.99,0.00859187,0.00038460855,Walking the dog
v_Z47QGlaQ1NE,0.0,0.99,0.4816726,0.6224104,High jump
v_re4vD9S8ThA,0.05,0.15,0.55538774,0.22144955396652222,Using the monkey bar
v_cGoj8xGxrG0,0.0,0.99,0.009588372,0.0003847799,Croquet
v_PMdba6f_cho,0.0,0.99,0.67370844,0.2975817918777466,Waterskiing
v_O1z0Q-3OUg0,0.0,0.99,0.009437752,0.0003848463,Preparing pasta
v_BSKolF3MMe4,0.29,0.97,0.58494693,0.30373862385749817,Mowing the lawn
v_hRuHqoXEvsI,0.0,0.99,0.09617406,0.027502185,Playing badminton
v_tAgVokWkdnQ,0.0,0.99,0.6388319,0.08126339316368103,Playing badminton
v_BSKolF3MMe4,0.0,0.99,0.5433819,0.30373862385749817,Mowing the lawn
v_kuv1yEeNQzQ,0.0,0.99,0.0079730665,0.00038464562,Cricket
v_oUdEoaKDHpA,0.0,0.99,0.6016957,0.10955967009067535,Using the monkey bar
v_00KMCm2oGhk,0.93,0.95,0.58274823,0.3515952229499817,Using the monkey bar
v_F7u4kpwhs5g,0.0,0.99,0.5772426,0.38038650155067444,High jump
v_O1z0Q-3OUg0,0.0,0.99,0.010571156,0.0003848463,Preparing pasta
v_lPCl1ZYH2xI,0.17,0.96,0.54996693,0.4261328876018524,Mowing the lawn
v_lPCl1ZYH2xI,0.17,0.96,0.56275755,0.4261328876018524,Mowing the lawn
v_C03QJbrKzaw,0.0,0.99,0.5561717,0.10408090800046921,Mowing the lawn
v_i0Z8I2WCLNk,0.0,0.99,0.010212592,0.00038484958,Blowing leaves
v_6J0IdWi4O0Q,0.56,0.79,0.6291829,0.2600780129432678,Croquet
v_UHNUmpx0nww,0.0,0.99,0.66852105,0.06832566112279892,High jump
v_fd7VuzALBCM,0.81,0.84,0.6134627,0.5800392627716064,Mowing the lawn
v_iHO42zwYsu0,0.0,0.99,0.013915567,0.0005228724,Blowing leaves
v_IxaoK4TbALQ,0.0,0.99,0.50209177,0.01962011680006981,Grooming horse
v_whJ6ESGNoyY,0.15,0.43,0.53857243,0.26421990990638733,Walking the dog
v_hRuHqoXEvsI,0.23,0.73,0.5351465,0.1563349962234497,Playing badminton
v_re4vD9S8ThA,0.05,0.97,0.5637381,0.26144230365753174,Using the monkey bar
v_Mpph0kFsyZ0,0.22,0.77,0.57309294,0.31437528133392334,Cricket
v_SL7iKDqir6g,0.0,0.99,0.1718736,0.026502036,Preparing pasta
v_F7u4kpwhs5g,0.05,0.93,0.60809565,0.3513460159301758,High jump
v_PEpfA3L4m20,0.0,0.99,0.4985687,0.019622115418314934,Blowing leaves
v_v621l04N1QQ,0.29,0.88,0.569273,0.1600520759820938,Rafting
v_SL7iKDqir6g,0.0,0.99,0.59017766,0.2507295608520508,Preparing pasta
v_kHBTnFweJfw,0.0,0.99,0.6164277,0.211995467543602,Croquet
v_K2Pws9z20Do,0.0,0.99,0.5689811,0.2388271540403366,Breakdancing
v_dJknA-jTNGc,0.0,0.99,0.55793434,0.8372235298156738,Rafting
v_Mpph0kFsyZ0,0.0,0.99,0.17237003,0.077505484,Cricket
v_idTzZaMtGy8,0.12,0.69,0.5208386,0.5177844762802124,Cricket
v_N-LaOcSqZaM,0.05,0.98,0.5840724,0.37211665511131287,Cricket
v_nQQ-tcG6wBA,0.0,0.99,0.17520632,0.06600241,Playing badminton
v_00KMCm2oGhk,0.93,0.95,0.56428874,0.3515952229499817,Using the monkey bar
v_N-LaOcSqZaM,0.09,0.97,0.5660523,0.37211665511131287,Cricket
v_00KMCm2oGhk,0.0,0.99,0.18664965,0.1099902,Using the monkey bar
v_Zc7uU4Qwolc,0.0,0.99,0.5100909,0.019625268876552582,Playing violin
v_nQQ-tcG6wBA,0.25,0.79,0.5542832,0.31793326139450073,Playing badminton
v_cIRMaWUTHuk,0.0,0.99,0.60853803,0.15690338611602783,Preparing pasta
v_Zc7uU4Qwolc,0.0,0.99,0.009747844,0.00038501382,Playing violin
v_lPCl1ZYH2xI,0.17,0.96,0.5665009,0.4261328876018524,Mowing the lawn
